distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,time
14.5,4.3,36,25.0,22,SP98,0,0,0,24.17
16.6,4.1,49,22.0,26,SP98,0,0,1,20.33
16.2,4.4,39,24.5,17,SP98,1,0,0,24.92
16.7,3.8,44,24.5,23,SP98,0,0,1,22.77
8.3,5.0,52,24.5,27,SP98,0,0,0,9.58
5.5,3.7,33,24.5,28,SP98,0,0,1,10.0
13.6,3.7,33,24.5,28,SP98,0,0,1,24.73
16.0,3.7,39,24.5,18,SP98,0,0,0,24.62
16.1,4.3,38,25.0,31,SP98,1,0,0,25.42
16.0,3.8,45,25.0,19,SP98,0,0,0,21.33
15.4,4.6,42,25.0,31,SP98,1,0,0,22.0
14.7,5.0,25,25.0,30,SP98,1,0,0,35.28
